trial,block,type,direction,stimulus,response,accuracy,rt
1,practice,congruent,left,<<<<<,left,1,1235
2,practice,congruent,left,<<<<<,left,1,823
3,practice,incongruent,left,>><>>,no_response,0,
4,practice,incongruent,right,<<><<,right,1,788
1,main,congruent,left,<<<<<,left,1,703
2,main,incongruent,left,>><>>,left,1,888
3,main,congruent,right,>>>>>,right,1,585
4,main,incongruent,left,>><>>,left,1,818
5,main,congruent,right,>>>>>,right,1,548
6,main,congruent,left,<<<<<,left,1,514
7,main,incongruent,right,<<><<,right,1,546
8,main,congruent,right,>>>>>,right,1,533
9,main,incongruent,left,>><>>,left,1,680
10,main,incongruent,right,<<><<,right,1,498
11,main,incongruent,right,<<><<,right,1,578
12,main,congruent,right,>>>>>,right,1,464
13,main,congruent,left,<<<<<,left,1,500
14,main,congruent,right,>>>>>,right,1,512
15,main,incongruent,right,<<><<,right,1,875
16,main,incongruent,right,<<><<,right,1,598
17,main,incongruent,left,>><>>,left,1,548
18,main,incongruent,left,>><>>,right,0,648
19,main,congruent,left,<<<<<,left,1,839
20,main,incongruent,left,>><>>,left,1,636
