trial,block,type,direction,stimulus,response,accuracy,rt
1,practice,incongruent,right,<<><<,no_response,0,
2,practice,incongruent,right,<<><<,right,1,787
3,practice,congruent,left,<<<<<,right,0,779
4,practice,incongruent,left,>><>>,left,1,584
1,main,congruent,left,<<<<<,left,1,360
2,main,congruent,right,>>>>>,right,1,342
3,main,congruent,right,>>>>>,right,1,377
4,main,incongruent,right,<<><<,right,1,429
5,main,congruent,right,>>>>>,right,1,344
6,main,congruent,right,>>>>>,right,1,276
7,main,congruent,left,<<<<<,left,1,294
8,main,incongruent,left,>><>>,left,1,375
9,main,congruent,right,>>>>>,right,1,312
10,main,congruent,right,>>>>>,right,1,327
11,main,incongruent,right,<<><<,left,0,344
12,main,congruent,right,>>>>>,right,1,344
13,main,congruent,left,<<<<<,left,1,393
14,main,congruent,left,<<<<<,left,1,428
15,main,congruent,right,>>>>>,right,1,327
16,main,incongruent,right,<<><<,left,0,345
17,main,incongruent,right,<<><<,left,0,328
18,main,congruent,left,<<<<<,left,1,378
19,main,incongruent,left,>><>>,left,1,414
20,main,congruent,left,<<<<<,left,1,312
