trial,block,type,direction,stimulus,response,accuracy,rt
1,practice,incongruent,right,<<><<,no_response,0,
2,practice,congruent,right,>>>>>,right,1,963
3,practice,incongruent,right,<<><<,no_response,0,
4,practice,incongruent,right,<<><<,left,0,665
1,main,congruent,left,<<<<<,left,1,481
2,main,congruent,right,>>>>>,right,1,396
3,main,congruent,right,>>>>>,right,1,386
4,main,incongruent,left,>><>>,left,1,395
5,main,congruent,right,>>>>>,right,1,344
6,main,incongruent,left,>><>>,left,1,410
7,main,incongruent,left,>><>>,right,0,396
8,main,incongruent,left,>><>>,left,1,429
9,main,incongruent,left,>><>>,left,1,411
10,main,incongruent,left,>><>>,right,0,328
11,main,incongruent,left,>><>>,left,1,325
12,main,congruent,left,<<<<<,left,1,328
13,main,congruent,left,<<<<<,left,1,327
14,main,congruent,left,<<<<<,left,1,292
15,main,congruent,left,<<<<<,left,1,243
16,main,congruent,left,<<<<<,left,1,277
17,main,congruent,left,<<<<<,left,1,244
18,main,congruent,right,>>>>>,left,0,311
19,main,congruent,right,>>>>>,right,1,347
20,main,congruent,left,<<<<<,left,1,292
