trial,block,type,direction,stimulus,response,accuracy,rt
1,practice,incongruent,left,>><>>,left,1,1060
2,practice,congruent,left,<<<<<,left,1,623
3,practice,incongruent,left,>><>>,left,1,681
4,practice,incongruent,right,<<><<,right,1,652
1,main,incongruent,right,<<><<,right,1,972
2,main,incongruent,left,>><>>,left,1,564
3,main,incongruent,left,>><>>,left,1,579
4,main,congruent,right,>>>>>,right,1,581
5,main,congruent,left,<<<<<,left,1,447
6,main,congruent,right,>>>>>,right,1,497
7,main,congruent,left,<<<<<,left,1,446
8,main,incongruent,left,>><>>,left,1,497
9,main,congruent,left,<<<<<,left,1,463
10,main,congruent,right,>>>>>,right,1,514
11,main,congruent,left,<<<<<,left,1,395
12,main,incongruent,right,<<><<,right,1,564
13,main,incongruent,left,>><>>,left,1,547
14,main,congruent,left,<<<<<,left,1,431
15,main,congruent,left,<<<<<,left,1,701
16,main,congruent,right,>>>>>,right,1,567
17,main,congruent,left,<<<<<,left,1,463
18,main,incongruent,right,<<><<,right,1,856
19,main,congruent,left,<<<<<,left,1,480
20,main,incongruent,left,>><>>,left,1,464
