trial,block,type,direction,stimulus,response,accuracy,rt
1,practice,incongruent,left,>><>>,left,1,915
2,practice,incongruent,right,<<><<,right,1,531
3,practice,congruent,right,>>>>>,right,1,438
4,practice,incongruent,right,<<><<,left,0,462
1,main,congruent,right,>>>>>,right,1,398
2,main,congruent,right,>>>>>,right,1,428
3,main,incongruent,right,<<><<,right,1,562
4,main,congruent,right,>>>>>,right,1,408
5,main,congruent,left,<<<<<,left,1,464
6,main,congruent,left,<<<<<,left,1,412
7,main,congruent,right,>>>>>,right,1,431
8,main,incongruent,right,<<><<,right,1,548
9,main,incongruent,left,>><>>,left,1,546
10,main,congruent,right,>>>>>,right,1,481
11,main,congruent,right,>>>>>,right,1,497
12,main,congruent,left,<<<<<,left,1,499
13,main,incongruent,right,<<><<,right,1,580
14,main,incongruent,right,<<><<,right,1,548
15,main,congruent,left,<<<<<,left,1,598
16,main,incongruent,right,<<><<,right,1,519
17,main,congruent,left,<<<<<,left,1,577
18,main,incongruent,left,>><>>,left,1,599
19,main,incongruent,right,<<><<,right,1,550
20,main,congruent,right,>>>>>,right,1,414
