trial,block,type,direction,stimulus,response,accuracy,rt
1,practice,incongruent,left,>><>>,no_response,0,
2,practice,congruent,right,>>>>>,no_response,0,
3,practice,congruent,right,>>>>>,right,1,1693
4,practice,incongruent,left,>><>>,left,1,581
1,main,congruent,left,<<<<<,left,1,481
2,main,congruent,left,<<<<<,left,1,368
3,main,congruent,left,<<<<<,left,1,379
4,main,incongruent,right,<<><<,right,1,445
5,main,congruent,left,<<<<<,left,1,430
6,main,incongruent,right,<<><<,right,1,617
7,main,incongruent,left,>><>>,left,1,411
8,main,incongruent,right,<<><<,right,1,414
9,main,incongruent,right,<<><<,right,1,411
10,main,congruent,left,<<<<<,left,1,377
11,main,congruent,left,<<<<<,left,1,375
12,main,congruent,left,<<<<<,left,1,328
13,main,congruent,right,>>>>>,right,1,364
14,main,incongruent,right,<<><<,left,0,380
15,main,congruent,right,>>>>>,right,1,395
16,main,incongruent,left,>><>>,left,1,414
17,main,congruent,right,>>>>>,right,1,378
18,main,congruent,right,>>>>>,right,1,394
19,main,incongruent,left,>><>>,left,1,408
20,main,incongruent,left,>><>>,left,1,482
