trial,block,type,direction,stimulus,response,accuracy,rt
1,practice,incongruent,left,>><>>,left,1,932
2,practice,incongruent,left,>><>>,right,0,940
3,practice,congruent,right,>>>>>,left,0,1262
4,practice,incongruent,left,>><>>,no_response,0,
1,main,congruent,left,<<<<<,left,1,974
2,main,congruent,left,<<<<<,left,1,664
3,main,incongruent,left,>><>>,left,1,857
4,main,incongruent,left,>><>>,left,1,550
5,main,incongruent,right,<<><<,right,1,445
6,main,incongruent,right,<<><<,right,1,446
7,main,incongruent,left,>><>>,left,1,464
8,main,incongruent,left,>><>>,left,1,514
9,main,congruent,right,>>>>>,right,1,311
10,main,incongruent,right,<<><<,right,1,410
11,main,congruent,right,>>>>>,right,1,431
12,main,incongruent,left,>><>>,left,1,443
13,main,incongruent,left,>><>>,right,0,346
14,main,congruent,left,<<<<<,left,1,466
15,main,congruent,left,<<<<<,left,1,527
16,main,congruent,left,<<<<<,left,1,462
17,main,congruent,right,>>>>>,right,1,463
18,main,congruent,left,<<<<<,left,1,567
19,main,incongruent,left,>><>>,left,1,581
20,main,congruent,right,>>>>>,right,1,396
