trial,block,type,direction,stimulus,response,accuracy,rt
1,practice,incongruent,left,>><>>,left,1,2010
2,practice,incongruent,left,>><>>,left,1,792
3,practice,congruent,left,<<<<<,left,1,701
4,practice,congruent,right,>>>>>,right,1,511
1,main,congruent,left,<<<<<,left,1,596
2,main,congruent,left,<<<<<,left,1,478
3,main,congruent,right,>>>>>,right,1,496
4,main,incongruent,left,>><>>,left,1,682
5,main,incongruent,right,<<><<,right,1,683
6,main,incongruent,right,<<><<,right,1,584
7,main,incongruent,right,<<><<,right,1,550
8,main,incongruent,right,<<><<,right,1,582
9,main,congruent,left,<<<<<,left,1,463
10,main,congruent,right,>>>>>,right,1,481
11,main,congruent,right,>>>>>,right,1,481
12,main,congruent,left,<<<<<,left,1,426
13,main,incongruent,left,>><>>,left,1,581
14,main,incongruent,right,<<><<,right,1,567
15,main,congruent,left,<<<<<,left,1,480
16,main,incongruent,right,<<><<,right,1,565
17,main,incongruent,left,>><>>,left,1,515
18,main,incongruent,left,>><>>,left,1,581
19,main,incongruent,left,>><>>,left,1,514
20,main,congruent,left,<<<<<,left,1,582
