trial,block,type,direction,stimulus,response,accuracy,rt
1,practice,incongruent,right,<<><<,right,1,1178
2,practice,incongruent,left,>><>>,left,1,618
3,practice,congruent,left,<<<<<,left,1,521
4,practice,congruent,left,<<<<<,left,1,396
1,main,incongruent,left,>><>>,left,1,718
2,main,incongruent,left,>><>>,left,1,497
3,main,congruent,right,>>>>>,right,1,326
4,main,congruent,right,>>>>>,right,1,361
5,main,congruent,left,<<<<<,left,1,375
6,main,congruent,right,>>>>>,right,1,390
7,main,incongruent,left,>><>>,left,1,463
8,main,congruent,left,<<<<<,left,1,392
9,main,congruent,right,>>>>>,right,1,377
10,main,congruent,right,>>>>>,right,1,513
11,main,congruent,right,>>>>>,right,1,362
12,main,congruent,left,<<<<<,left,1,359
13,main,congruent,right,>>>>>,right,1,374
14,main,incongruent,right,<<><<,left,0,376
15,main,incongruent,left,>><>>,left,1,549
16,main,incongruent,right,<<><<,right,1,546
17,main,congruent,left,<<<<<,left,1,411
18,main,incongruent,right,<<><<,left,0,393
19,main,congruent,right,>>>>>,right,1,446
20,main,congruent,right,>>>>>,right,1,411
